ID | Map evaluation | API evaluation | url_start_via_end |	url_start_via | url_via_end+ 
319088 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_via_end")
319089 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_via_end")
319090 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_via_end")
317266 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=43.4858881,-72.48792879999999","url_start_via")|-- 
309962 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=40.77841,-73.96704&loc=47.6001,-122.3283","url_start_via")|-- 
320013 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=45.7026471,-82.0371761","url_start_via")|-- 
322354 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.433887,-90.621134&loc=42.5327,-90.7183&loc=43.091025,-90.131844","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.433887,-90.621134&loc=42.5327,-90.7183","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.5327,-90.7183&loc=43.091025,-90.131844","url_via_end")
320014 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=45.7026471,-82.0371761","url_start_via")|-- 
322931 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.71574,-117.1611&loc=32.710503,-117.23128300000002&loc=33.83529,-117.9145","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.71574,-117.1611&loc=32.710503,-117.23128300000002","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.710503,-117.23128300000002&loc=33.83529,-117.9145","url_via_end")
322995 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.7105,-117.2313&loc=32.72916,-117.1911","url_start_via")|-- 
322996 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.7105,-117.2313&loc=32.72916,-117.1911","url_start_via")|-- 
322997 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.7105,-117.2313&loc=32.72916,-117.1911","url_start_via")|-- 
323709 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.61238,-121.8983&loc=-28.03,153.43&loc=36.2523,-121.7827","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.61238,-121.8983&loc=-28.03,153.43","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-28.03,153.43&loc=36.2523,-121.7827","url_via_end")
323818 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.61238,-121.8983&loc=-28.03,153.43&loc=36.2523,-121.7827","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.61238,-121.8983&loc=-28.03,153.43","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-28.03,153.43&loc=36.2523,-121.7827","url_via_end")
323936 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=38.06657,-122.8045&loc=-28.03,153.43&loc=36.2523,-121.7827","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=38.06657,-122.8045&loc=-28.03,153.43","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-28.03,153.43&loc=36.2523,-121.7827","url_via_end")
324927 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=51.49108,-3.195845&loc=42.77397,-76.18193","url_start_via")|-- 
325928 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=41.49932,-81.6943605&loc=42.1389839,-83.24179939999999","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=41.49932,-81.6943605","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.49932,-81.6943605&loc=42.1389839,-83.24179939999999","url_via_end")
325938 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-37.8142155,144.9632307&loc=34.0522342,-118.2436849","url_start_via")|-- 
325948 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-37.8142155,144.9632307&loc=34.0522342,-118.2436849","url_start_via")|-- 
325958 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-37.8142155,144.9632307&loc=34.0522342,-118.2436849","url_start_via")|-- 
325977 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=-37.8142155,144.9632307&loc=34.0522342,-118.2436849","url_start_via")|-- 
325978 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.05641,-112.1164&loc=35.16332,-114.5724&loc=34.08196,-114.8425","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=36.05641,-112.1164&loc=35.16332,-114.5724","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=35.16332,-114.5724&loc=34.08196,-114.8425","url_via_end")
319771 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=39.770717,-121.589365&loc=44.0121221,-92.4801989","url_start_via")|-- 
326108 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326015 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=41.49932,-81.6943605&loc=42.1389839,-83.24179939999999","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=41.49932,-81.6943605","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.49932,-81.6943605&loc=42.1389839,-83.24179939999999","url_via_end")
326109 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326110 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
